,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
2071,NCU,3,2438.0,0.6666666666666666,3.8623548922056385,11,1.767891743339613e-05,0.002799330254496937,0.00010672599637791139
2072,NCY,1,1120.0,0.0,3.687119955776672,11,0.0,0.003201969512488917,5.329299673606376e-05
2073,NDB,2,316.0,0.0,4.49640685461581,12,7.18193215137907e-07,0.0008054155940604148,5.480949399619095e-05
2074,NDG,1,316.0,0.0,4.075732448866777,11,0.0,0.0006651868405096595,4.45273300399723e-05
2075,NDI,2,8.0,0.0,5.736594803758983,11,0.00082880497943585,5.386711313511536e-07,0.0001179349404129599
2076,NDJ,11,3213.0,0.32727272727272727,3.627418463239359,11,0.00042937406587994164,0.005265076313926517,0.00017076940690776449
2077,NDK,2,19.0,1.0,5.101437258153676,12,0.0,9.99549799704496e-06,8.229579099866855e-05
2078,NDR,5,526.0,0.8,3.5967385295743504,11,1.0200351040053082e-07,0.010794258693630418,4.675650278195075e-05
2079,NDY,3,88.0,0.6666666666666666,5.575732448866777,13,7.645802393319649e-08,6.838428270887464e-06,8.40007190280272e-05
2080,NDZ,3,224.0,0.0,4.37534549474848,12,0.0016582216230631654,0.0014406016392853247,0.00026275956875106393
2081,NEC,2,95.0,1.0,4.1064123825317855,12,0.0,0.0006561130088885718,4.810248846021068e-05
2082,NEG,2,807.5,1.0,4.266998341625207,12,0.0,0.0009426813077495024,4.996719628148612e-05
2083,NER,5,1460.0,0.7,3.8662244333886124,11,0.0002694039995543706,0.0025647821645984345,0.00010168580510055758
2084,NEV,5,1112.0,0.5,4.331398562741846,12,4.6068215730330626e-07,0.0007914239438022648,5.963446020449333e-05
2085,NFG,2,108.0,0.0,4.776672194582642,12,2.5486007977732162e-08,0.00020298868808790773,4.61495641759939e-05
2086,NFO,1,19.0,0.0,5.926755113322278,13,0.0,5.694250193273863e-07,4.578182897276252e-05
2087,NGA,2,216.0,0.0,5.230790491984521,12,0.0005529444290848769,5.158362873775538e-06,0.00023003481220335535
2088,NGB,21,15831.0,0.7761904761904762,3.7534549474847982,11,2.8245407565945047e-06,0.0050696355006047585,0.00020475791695481692
2089,NGE,2,148.0,1.0,4.63681592039801,12,0.0,0.00012075607756271373,5.0340435715462045e-05
